group_category,requirement_id,document_type,requirement_nature,condition_trigger,evidence_type,acceptance_rule,validity_constraints,source_confidence,review_status,legal_review_needed,needs_human_confirmation,source_file,source_section,rule_test_linkage,normalized_from_tags,runtime_hits,runtime_source_files,notes
Offer forms (technical/financial/declarations),TRUEDOC-OFFER-004,Subcontractor forms (data + consent),conditional,Only if subcontractors are declared,Subcontractor data form and signed consent,Each subcontractor form complete and signed,Valid on submission date,medium,draft,no,yes,task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md; модели на тендерска документација\Набавка од мала вредност\Mala-Vrednost-Dopolna-ZJN-14-25.docx; модели на тендерска документација\Отворена постапка\Modeli-na-Prilozi.docx; модели на тендерска документација\модел на договор\Model-na-dogovor-nabavka-na-stoki-fev-2023.docx; модели на тендерска документација\модел на договор\Model-na-dogovor-za-nabavka-na-raboti-2023.docx,model:подизведувач,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,proof_document,0,,
Offer forms (technical/financial/declarations),TRUEDOC-OFFER-005,Group bid documents (group data + group agreement),conditional,Only for consortium/group bids,Group bidder data + signed group agreement,All consortium members and lead member clearly identified,Valid on submission date,medium,draft,no,yes,task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md; модели на тендерска документација\Набавка од мала вредност\Mala-Vrednost-Dopolna-ZJN-14-25.docx; модели на тендерска документација\Отворена постапка\Modeli-na-Prilozi.docx,model:групна понуда,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,proof_document,0,,
Professional capability docs,TRUEDOC-PROF-001,Registered professional activity proof,mandatory,Always,Central registry extract / equivalent,Activity code must match subject of procurement,Must be valid at submission date,high,confirmed,no,no,task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md; task_force\out\tender_context\upload_requirements_template_01606_2026.csv,baseline:5.3.1,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,"license,proof_document",0,,
Professional capability docs,TRUEDOC-PROF-002,Sector license/permit (if regulated activity),conditional,Only when law requires special permit,License/permit/authorization,License scope covers tender service and is valid,Valid through submission and execution period,medium,confirmed,no,no,downloads/тендерска_документација_01332-2026_20260206132608.pdf; task_force/out/tender_context/upload_hints_20260220_113118Z.csv; task_force/out/tender_context/upload_hints_20260220_114513Z.csv; task_force/out/tender_context/upload_hints_20260220_114631Z.csv; task_force/out/tender_context/upload_hints_20260220_114745Z.csv; task_force/out/tender_context/upload_hints_20260220_120310Z.csv; task_force/out/tender_context/upload_hints_20260220_121325Z.csv; task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md,runtime:page 11; runtime:page 14,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,license,12,тендерска_документација_01332-2026_20260206132608.pdf,"User decision: keep conditional by sector, but attach license proactively when available."
Quality standards (ISO etc.),TRUEDOC-QUAL-001,ISO 27001 certificate,mandatory,When quality standards section requires ISO 27001,ISO certificate,Valid ISO certificate with scope aligned to tender requirement,Valid on submission date,high,confirmed,yes,no,task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md; task_force\out\tender_context\upload_requirements_template_01606_2026.csv,baseline:5.4.1,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,certificate,0,,
Quality standards (ISO etc.),TRUEDOC-QUAL-002,ISO 20000-1 certificate,mandatory,When quality standards section requires ISO 20000-1,ISO certificate,Valid ISO certificate with scope aligned to tender requirement,Valid on submission date,high,confirmed,yes,no,task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md; task_force\out\tender_context\upload_requirements_template_01606_2026.csv,baseline:5.4.1,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,certificate,0,,
Quality standards (ISO etc.),TRUEDOC-QUAL-003,ISO 22301 certificate,mandatory,When quality standards section requires ISO 22301,ISO certificate,Valid ISO certificate with scope aligned to tender requirement,Valid on submission date,high,confirmed,yes,no,task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md; task_force\out\tender_context\upload_requirements_template_01606_2026.csv,baseline:5.4.1,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,certificate,0,,
Technical/professional capability docs,TRUEDOC-TECH-001,Technical/professional capability statement,mandatory,Always,Signed statement,Covers all minimum technical/professional criteria from section 5.3.2,Valid on submission date,high,confirmed,no,no,task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md; task_force\out\tender_context\upload_requirements_template_01606_2026.csv,baseline:5.3.2,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,declaration_statement,0,,
Technical/professional capability docs,TRUEDOC-TECH-002,Proof of key personnel engagement,mandatory,When key experts are required,Employment contracts / engagement declarations,Quantity and profiles meet requested minimum staffing,Current at submission date,high,confirmed,no,no,task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md,,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,proof_document,0,,
Technical/professional capability docs,TRUEDOC-TECH-003,Key personnel professional certificates,mandatory,When certification profile is required,Certificates (CCIE/CCNP/PMP/ITIL or equivalent),Certificates satisfy minimum count and equivalence clause,Valid on submission date,high,confirmed,yes,no,downloads/тендерска_документација_01606-2026_20260212094153 (1).pdf; downloads/тендерска_документација_01606-2026_20260212094153.pdf; downloads/тендерска_документација_02313-2026_20260219140857 (1).pdf; downloads/тендерска_документација_02313-2026_20260219140857.pdf; downloads/тендерска_документација_02335-2026_20260219152806.pdf; task_force/out/tender_context/upload_hints_20260220_111916Z.csv; task_force/out/tender_context/upload_hints_20260220_112704Z.csv; task_force/out/tender_context/upload_hints_20260220_113118Z.csv; task_force/out/tender_context/upload_hints_20260220_114513Z.csv; task_force/out/tender_context/upload_hints_20260220_114631Z.csv; task_force/out/tender_context/upload_hints_20260220_114745Z.csv; task_force/out/tender_context/upload_hints_20260220_120310Z.csv; task_force/out/tender_context/upload_hints_20260220_121325Z.csv; task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md; task_force\out\tender_context\upload_requirements_template_01606_2026.csv,baseline:5.3.2.1; runtime:page 11; runtime:page 14; runtime:page 7; runtime:page 9,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,certificate,49,тендерска_документација_01606-2026_20260212094153 (1).pdf; тендерска_документација_01606-2026_20260212094153.pdf; тендерска_документација_02313-2026_20260219140857 (1).pdf; тендерска_документација_02313-2026_20260219140857.pdf; тендерска_документација_02335-2026_20260219152806.pdf,
Technical/professional capability docs,TRUEDOC-TECH-004,Reference list of similar contracts,conditional,If tender requires prior experience references,Reference list + confirmations,Meets minimum number/value/period from tender section,References fall inside requested time window,medium,confirmed,no,no,task_force\out\tender_context\model_common_uslovi_20260220_115334Z.md; task_force\out\tender_context\true_uslovi_baseline_01606_2026.md,,task_force/scripts/extract_tender_context.py:build_upload_hints; tests/compliance/test_approval_consistency.py,reference_list,0,,User decision: reference evidence is tender-specific.
