item_no,section_code,requirement_id,checklist_item,mandatory,provided,attached_file_name,reviewer_comment
11,4.2.4,REQ-SEC-4-2-4,"4.2.4.За докажување дека не постојат услови за исклучување од постапката, економскиот оператор ги доставува следниве документи: изјава на економскиот оператор дека во последните 5 години на економскиот оператор или на лицето кое е член на управниот или на надзорниот орган на тој економски оператор или кое има овластувања за застапување или донесување одлуки или надзор врз него, во последните пет години не му е изречена правосилна судска пресуда за сторено кривично дело кое има елементи од кривичните дела учество во злосторничко здружување, корупција, затајување даноци и придонеси, тероризам или казнени дела поврзани со терористички активности, перење пари и финансирање тероризам и злоупотреба на детскиот труд и трговија со луѓе, утврдени во Кривичниот законик; потврда за платени даноци, ",yes,,,
12,4.3,REQ-SEC-4-3,4.3.Услови за квалитативен избор,yes,,,
13,4.3.1,REQ-SEC-4-3-1,"4.3.1.Способност за вршење на професионална дејност 4.3.1.1.Право на учество во постапката има секој економски оператор кој е регистриран како физичко или правно лице за вршење на дејноста поврзана со предметот на набавка или припаѓа на соодветно професионално здружение согласно со прописите на земјата каде што е регистриран. 4.3.1.2.Право на учество во постапката има секој економски оператор кој ги исполнува посебните услови за вршење на дејноста пропишани согласно со закон, а се однесуваат на предметот на набавка. 4.3.1.3.За да ја докаже способноста за вршење професионална дејност, економскиот оператор треба да достави: - Потврда за регистрирана дејност како доказ дека е регистриран како физичко или правно лице за вршење на дејноста поврзана со предметот на набавка или доказ дека припаѓа",yes,,,
14,4.3.2,REQ-SEC-4-3-2,"4.3.2.Техничка и професионална способност 4.3.2.1.Потребната техничка и професионалната способност за квалитетно извршување на договорот, договорниот орган ќе ја утврди преку следниве минимални услови: Право на учество во постапката има секој економски оператор кој располага со најмалку 5 (пет) ИТ стручни лица (за двата дела од набавката). Економскиот оператор треба да располага со најмалку 3 (три) терестријални линкови со минимален транспортен капацитет на секој од линковите од 10 Gbit/s и истите треба да бидат редудантно и балансирачки конфигурирани со BGP протокол (за двата дела од набавката). 14 Од бараните најмалку 5 (пет) ИТ стручни лица потребно е најмалку 3 (три) лица со работно искуство во областа на предметната набавка од најмалку 3 (три) години. Најмалку 1 (едно) ИТ стручно лице",yes,,,
15,4.4,REQ-SEC-4-4,"4.4.Стандарди за системи за квалитет 4.4.1.За да се квалификува како способен за извршување на предметниот договор за јавна набавка од аспект на стандардите за системи на квалитет, економскиот оператор треба да ги исполнува следниве стандарди: 1.Сертификат MKC/IEC 27001 - Стандард за управување со безбедност на информациите (ISMS) или еквивалентно (за двата дела од набавката). 2.Сертификат ISO 22301 - Стандард за управување со континуитет на бизнисот или еквивалентно (за двата дела од набавката). Економскиот оператор го докажува исполнувањето на стандардите со доставување на: 1.Треба да се достави бараниот сертификат или еквивалентно. Понудувачот да достави начин на проверка на валидноста на сертификатот (интернет линк или друг начин). 2.Треба да се достави бараниот сертификат или еквивале",yes,,,
16,5.1,REQ-SEC-5-1,"5.1.Доделување на договорот за јавна набавка 5.1.1.Договорниот орган ќе ја донесе одлука за избор или за поништување на постапката во рок кој не е подолг од рокот за поднесување на понудите, сметајќи од денот определен како краен рок за поднесување на понудите, а не сметајќи ги деновите во кои договорниот орган чека преземање одредено дејствие од друг субјект. 5.1.2.Договорниот орган го склучува договорот за јавна набавка со понудувачот чија понуда е избрана за најповолна врз основа на техничката и на финансиската понуда во рок од 30 дена од денот на конечноста на одлуката за избор, но не подоцна од периодот на важност на понудата. 19 5.1.3.Ако избраниот понудувач се откаже од склучување на договорот или дојде до раскинување заради негово ненавремено или неквалитетно извршување, договорнио",yes,,,
17,5.2,REQ-SEC-5-2,"5.2.Известување за доделување на договорот за јавна набавка 5.2.1.Договорниот орган ќе ги извести понудувачите за одлуките во врска со утврдената способност, извршениот избор на најповолна понуда, склучувањето на рамковната спогодба или поништувањето на постапката за јавна набавка. Известувањето се доставува во рок од три дена од денот на донесувањето на соодветната одлука. 5.2.2.Во прилог на известувањето ќе се достави и примерок од соодветната одлука, а истото ќе се испрати преку ЕСЈН. 5.2.3.По доставување на одлуката за избор на најповолна понуда или за поништување на постапката, а до истекот на рокот за вложување жалба, економските оператори што учествувале во постапката имаат право на увид во целокупната документација од постапката, вклучувајќи ги доставените понуди или пријави за уче",yes,,,
18,5.3,REQ-SEC-5-3,"5.3.Склучување на договорот 5.3.1.Договорните страни го склучуваат договорот за јавна набавка или рамковната спогодба во писмена форма во рамки на рокот на важност на најповолната понуда, но не подоцна од 30 дена од денот на конечноста на одлуката за избор. 5.3.2.Договорот за јавна набавка или рамковната спогодба се склучува согласно со условите утврдени во тендерската документација и понудата. 5.4.Извршување на договорот 5.4.1.Договорните страни го извршуваат договорот за јавна набавка или рамковната спогодба согласно со условите утврдени во тендерската документација и избраната најповолна понуда. 5.4.2.Договорниот орган ќе врши контрола дали извршувањето на договорот за јавна набавка или рамковната спогодба е во согласност со условите од договорот. 5.4.3.При извршувањето на договорот дог",yes,,,
19,4.2.4,REQ-EXCL-DOC-001,"4.2.4.За докажување дека не постојат услови за исклучување од постапката, економскиот оператор ги доставува следниве документи: изјава на економскиот оператор дека во последните 5 години на економскиот оператор или на лицето кое е член на управниот или на надзорниот орган на тој економски оператор или кое има овластувања за застапување или донесување одлуки или надзор врз него, во последните пет години не му е изречена правосилна судска пресуда за сторено кривично дело кое има елементи од кривичните дела учество во злосторничко здружување, корупција, затајување даноци и придонеси, тероризам или казнени дела поврзани со терористички активности, перење пари и финансирање тероризам и злоупотреба на детскиот труд и трговија со луѓе, утврдени во Кривичниот законик; потврда за платени даноци, ",yes,,,
20,tech_spec,REQ-TECHSPEC-HIDDEN-001," Сите СИМ картички да бидат во иста група во рамките на компани јата (CUG) и по линија задолжително да има неограничени бесплатни минути секој месец за разговори во рамките на компанијата  Моменталните претплатнички броеви да бидат пренесени заедно со префиксот (НДК бројот – Националниот Дестинациски Код) во мобилниот о ператор кој што ќе биде избран како најповолен понудувач.  Тарифирањето на националните, меѓународните повици и на роаминг повиците да биде на интервали од 60 секунди.",yes,,,
21,tech_spec,REQ-TECHSPEC-HIDDEN-002,"КРИТЕРИУМИ: - Услугата да се врши 24 часа на ден, 7 дена во неделата кон сите фиксни и мобилни мрежи. - Корисничка поддршка од операторот 24 часа на ден, 7 дена во неделата на бесплатен телефонски број. - Задржување на постоечката нумерација без надоместок. - Цената на месечната претплата за 1 фиксна линија со 30 говорни канали цен aтa да не биде повисока од 3.000,00 денари месечно без вклучен ДДВ. - Цената на месечна претплата за една фиксна линија да не биде повисока од 350,00 денари/",yes,,,
22,tech_spec,REQ-TECHSPEC-HIDDEN-003, Цената на месечна претплата не смее да биде повисока 21.000.00 денари без вклучен ДДВ.  За потребите на договорниот орган може да се активира Web Hosting со цена не повисока од 3099 ден.  Во понудата да бидат вклучени и трошоци за инсталација на сервисот;  Понудувачот треба да достави и потпишан и заверен SLA (Service Level Agreement) документ;  Понудувачот треба да има интернационални линкови со минимален капацитет од 4 Gbps и истите треба да бидат редундантно и балансирачки конфи,yes,,,
23,tech_spec,REQ-TECHSPEC-HIDDEN-004,"Пакет 5 - РЕШЕНИЕ ЗА БЕКУП НА ПОДАТОЦИ Задолжителни барања за решение за бекуп на податоци:  Цената на месечна претплата за решението за бекап на податоци не смее да биде повисока од 1.990,00 денари без вклучен ДДВ.  Решението да обезбедува простор од 500 GB  Решението да обезбедува правење на резервни копии на дневно, неделно и месечно ниво.  Решението да поддржува правење на копии на ниво на документ, ниво на папка и ниво на диск.  Решението да овозможува враќање на податоците во",yes,,,
24,tech_spec,REQ-TECHSPEC-HIDDEN-005,"Те хн ичка спецификација за изработка на софтвер за Р азвој и имплеметација на web базирана геоинформатичка ИТ платформа за управување со просторни податоци стандардизирани согласно INSPIRE директивата во Министерството за транспорт Вовед Националната инфраструктура на просторни податоци на Република Северна Македонија има за цел да го олесни пристапот , споделувањето , користењето и дистрибуцијата на стандардизираните просторни податоци и услуги на ефикасен , ефективен и усогласен начин , за да",yes,,,
